Timestamp,SpeechProbability,IsSpeech
2026-06-22 18:23:52.937,0.0602,False
2026-06-22 18:23:52.952,0.0254,False
2026-06-22 18:23:52.953,0.0176,False
2026-06-22 18:23:53.037,0.0122,False
2026-06-22 18:23:53.037,0.0067,False
2026-06-22 18:23:53.038,0.0047,False
2026-06-22 18:23:53.038,0.0045,False
2026-06-22 18:23:53.165,0.0044,False
2026-06-22 18:23:53.165,0.0047,False
2026-06-22 18:23:53.166,0.0048,False
2026-06-22 18:23:53.166,0.0047,False
2026-06-22 18:23:53.293,0.0046,False
2026-06-22 18:23:53.294,0.0045,False
2026-06-22 18:23:53.294,0.0044,False
2026-06-22 18:23:53.294,0.0043,False
2026-06-22 18:23:53.421,0.0040,False
2026-06-22 18:23:53.422,0.0053,False
2026-06-22 18:23:53.422,0.0078,False
2026-06-22 18:23:53.422,0.0120,False
2026-06-22 18:23:53.549,0.0152,False
2026-06-22 18:23:53.550,0.0200,False
2026-06-22 18:23:53.550,0.0283,False
2026-06-22 18:23:53.550,0.0341,False
2026-06-22 18:23:53.677,0.0330,False
2026-06-22 18:23:53.678,0.0250,False
2026-06-22 18:23:53.678,0.0161,False
2026-06-22 18:23:53.678,0.0097,False
2026-06-22 18:23:53.805,0.0066,False
2026-06-22 18:23:53.806,0.0051,False
2026-06-22 18:23:53.806,0.0035,False
2026-06-22 18:23:53.806,0.0029,False
2026-06-22 18:23:53.934,0.0022,False
2026-06-22 18:23:53.934,0.0019,False
2026-06-22 18:23:53.934,0.0017,False
2026-06-22 18:23:53.934,0.0017,False
2026-06-22 18:23:54.061,0.0018,False
2026-06-22 18:23:54.062,0.0015,False
2026-06-22 18:23:54.062,0.0076,False
2026-06-22 18:23:54.062,0.0018,False
2026-06-22 18:23:54.190,0.0016,False
2026-06-22 18:23:54.190,0.0018,False
2026-06-22 18:23:54.190,0.0022,False
2026-06-22 18:23:54.318,0.0016,False
2026-06-22 18:23:54.318,0.0015,False
2026-06-22 18:23:54.319,0.0016,False
2026-06-22 18:23:54.319,0.0012,False
2026-06-22 18:23:54.446,0.0012,False
2026-06-22 18:23:54.446,0.0015,False
2026-06-22 18:23:54.447,0.0016,False
2026-06-22 18:23:54.447,0.0013,False
2026-06-22 18:23:54.575,0.0013,False
2026-06-22 18:23:54.575,0.0013,False
2026-06-22 18:23:54.576,0.0015,False
2026-06-22 18:23:54.576,0.0019,False
2026-06-22 18:23:54.702,0.0014,False
2026-06-22 18:23:54.703,0.0012,False
2026-06-22 18:23:54.703,0.0012,False
2026-06-22 18:23:54.703,0.0015,False
2026-06-22 18:23:54.830,0.0011,False
2026-06-22 18:23:54.831,0.0011,False
2026-06-22 18:23:54.831,0.0010,False
2026-06-22 18:23:54.832,0.0010,False
2026-06-22 18:23:54.958,0.0018,False
2026-06-22 18:23:54.958,0.0020,False
2026-06-22 18:23:54.959,0.0016,False
2026-06-22 18:23:54.959,0.0009,False
2026-06-22 18:23:55.086,0.0010,False
2026-06-22 18:23:55.086,0.0008,False
2026-06-22 18:23:55.087,0.0009,False
2026-06-22 18:23:55.087,0.0011,False
2026-06-22 18:23:55.214,0.0010,False
2026-06-22 18:23:55.214,0.0009,False
2026-06-22 18:23:55.215,0.0010,False
2026-06-22 18:23:55.215,0.0010,False
2026-06-22 18:23:55.342,0.0007,False
2026-06-22 18:23:55.343,0.0007,False
2026-06-22 18:23:55.343,0.0008,False
2026-06-22 18:23:55.343,0.0008,False
2026-06-22 18:23:55.469,0.0007,False
2026-06-22 18:23:55.470,0.0009,False
2026-06-22 18:23:55.470,0.0008,False
2026-06-22 18:23:55.470,0.0009,False
2026-06-22 18:23:55.598,0.0008,False
2026-06-22 18:23:55.598,0.0008,False
2026-06-22 18:23:55.598,0.0009,False
2026-06-22 18:23:55.726,0.0008,False
2026-06-22 18:23:55.726,0.0006,False
2026-06-22 18:23:55.726,0.0006,False
2026-06-22 18:23:55.727,0.0006,False
2026-06-22 18:23:55.854,0.0005,False
2026-06-22 18:23:55.854,0.0004,False
2026-06-22 18:23:55.854,0.0006,False
2026-06-22 18:23:55.854,0.0007,False
2026-06-22 18:23:55.982,0.0010,False
2026-06-22 18:23:55.982,0.0008,False
2026-06-22 18:23:55.982,0.0006,False
2026-06-22 18:23:55.983,0.0005,False
2026-06-22 18:23:56.110,0.0005,False
2026-06-22 18:23:56.110,0.0006,False
2026-06-22 18:23:56.111,0.0006,False
2026-06-22 18:23:56.111,0.0008,False
2026-06-22 18:23:56.238,0.0014,False
2026-06-22 18:23:56.238,0.0009,False
2026-06-22 18:23:56.239,0.0007,False
2026-06-22 18:23:56.239,0.0006,False
2026-06-22 18:23:56.366,0.0004,False
2026-06-22 18:23:56.366,0.0005,False
2026-06-22 18:23:56.366,0.0005,False
2026-06-22 18:23:56.367,0.0005,False
2026-06-22 18:23:56.494,0.0006,False
2026-06-22 18:23:56.494,0.0006,False
2026-06-22 18:23:56.494,0.0006,False
2026-06-22 18:23:56.494,0.0006,False
2026-06-22 18:23:56.622,0.0005,False
2026-06-22 18:23:56.622,0.0005,False
2026-06-22 18:23:56.623,0.0004,False
2026-06-22 18:23:56.623,0.0004,False
2026-06-22 18:23:56.750,0.0005,False
2026-06-22 18:23:56.751,0.0004,False
2026-06-22 18:23:56.751,0.0006,False
2026-06-22 18:23:56.751,0.0007,False
2026-06-22 18:23:56.878,0.0006,False
